ID,betingelse,item,svar,svartid,maksimalafvigelser
51,3,4,0,5.99,1.09500
51,3,8,0,2.21,0.26030
51,3,12,1,2.01,-0.10824
51,3,16,0,2.50,0.12807
51,4,2,1,1.60,0.55410
51,4,6,1,3.86,-0.02964
51,4,10,0,4.83,0.98403
51,4,14,1,2.73,0.08022
51,5,17,0,5.48,0.30553
51,5,21,1,4.94,0.06444
51,5,25,0,4.29,-0.08934
51,5,29,0,7.55,0.99075
51,6,19,1,4.53,0.16476
51,6,23,1,5.31,0.05349
51,6,27,0,2.31,-0.09977
51,6,31,0,5.46,0.14453
51,7,20,1,5.53,0.38129
51,7,24,1,2.85,0.15372
51,7,28,1,4.63,0.19118
51,7,32,0,4.11,0.22377
51,8,18,1,3.35,-0.07246
51,8,22,1,1.57,0.03076
51,8,26,1,2.03,0.05577
51,8,30,1,1.90,0.29629
52,1,2,1,2.05,0.34632
52,1,6,1,2.35,0.23703
52,1,10,1,2.71,0.98039
52,1,14,1,2.03,0.15096
52,2,4,0,2.57,1.03061
52,2,8,0,2.59,0.79547
52,2,12,0,2.97,1.27660
52,2,16,0,2.99,0.89343
52,3,1,1,2.37,1.09903
52,3,5,0,3.39,0.99617
52,3,9,1,2.70,-0.04529
52,3,13,1,2.45,-0.12518
52,4,3,1,3.45,0.40540
52,4,7,1,2.73,1.18937
52,4,11,1,2.82,1.05624
52,4,15,0,2.25,0.96835
52,5,18,0,2.17,0.22315
52,5,22,0,2.33,0.94682
52,5,26,1,3.05,1.10375
52,5,30,0,1.81,0.24096
52,6,20,1,2.27,0.03811
52,6,24,1,1.96,-0.18757
52,6,28,1,2.00,1.06751
52,6,32,0,3.99,1.08354
52,7,17,1,2.68,1.25766
52,7,21,1,3.24,1.13536
52,7,25,1,2.58,0.98143
52,7,29,0,1.55,-0.07177
52,8,19,1,2.65,0.58533
52,8,23,0,2.02,-0.15548
52,8,27,0,3.68,1.12467
52,8,31,0,3.94,1.05265
53,1,3,1,1.71,0.92080
